c_ss_number,c_adress,c_full_name,c_phone_num,c_email
46040774,Granvagen 10,Astrid Karlsson,0761233557,astrid.karlsson@outlook.com
89022742,Ormvagen 22,Jakob Svensson,0732231264,jakobsve@yahoo.com
89012362,Stjarnvagen 68,Karl Johann,0701537254,karl.johann@gmail.com 
90040526,Lillstigen 57,Marjatta Soderberg,0699541499,marsoder@gmail.com
82012909,Franssonbacken 6,Majlis Arvidsson,0982355502,majlis.arvidsson@hotmail.com
84031956,Linnebacken 448 ,Lennart Ek,0808666318,lennart.ek.9@msn.com
86050868,Linnegrand 4700,Rolf Sandstrom,0738317125,rolfgolfr@hotmail.com
94080245,Kristianliden 335 ,Ann-Charlotte Fredriksson,0768717802,ann.fred@outlook.com
98112434,Dahlbergbacken 6,Maja Hellstrom,0734905296,maja.hellstrom@yahoo.com
72091719,Sivliden 71,Patrik Wikstrom,0761404361,patrik.wikstrom@hotmail.com
